State,Parliament Constituency,Winning Candidate,Total Votes,Margin
Maharashtra,Nandurbar(1),ADV GOWAAL KAGADA PADAVI,745998,159120
Maharashtra,Dhule(2),BACHHAV SHOBHA DINESH,583866,3831
Maharashtra,Amravati (7),BALWANT BASWANT WANKHADE,526271,19731
Maharashtra,Ramtek (9),Shyamkumar (Babalu) Daulat Barve,613025,76768
Maharashtra,Bhandara Gondiya(11),DR. PRASHANT YADAORAO PADOLE,587413,37380
Maharashtra,Gadchiroli - Chimur(12),DR. KIRSAN NAMDEO,617792,141696
Maharashtra,Chandrapur(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406
Maharashtra,Nanded(16),CHAVAN VASANTRAO BALWANTRAO,528894,59442
Maharashtra,Jalna(18),KALYAN VAIJINATHRAO KALE,607897,109958
Maharashtra,Mumbai North Central(29),GAIKWAD VARSHA EKNATH,445545,16514
Maharashtra,Latur (41),DR. KALGE SHIVAJI BANDAPPA,609021,61881
Maharashtra,Solapur(42),PRANITI SUSHILKUMAR SHINDE,620225,74197
Maharashtra,Kolhapur(47),CHHATRAPATI SHAHU SHAHAJI,754522,154964
Maharashtra,Jalgaon(3),SMITA UDAY WAGH,674428,251594
Maharashtra,Raver(4),KHADSE RAKSHA NIKHIL,630879,272183
Maharashtra,Akola(6),ANUP SANJAY DHOTRE,457030,40626
Maharashtra,Nagpur(10),NITIN JAIRAM GADKARI,655027,137603
Maharashtra,Palghar(22),DR. HEMANT VISHNU SAVARA,601244,183306
Maharashtra,Mumbai North(26),PIYUSH GOYAL,680146,357608
Maharashtra,Pune(34),MURLIDHAR MOHOL,584728,123038
Maharashtra,Satara(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771
Maharashtra,Ratnagiri- Sindhudurg(46),NARAYAN TATU RANE,448514,47858
Maharashtra,Yavatmal- Washim(14),SANJAY UTTAMRAO DESHMUKH,594807,94473
Maharashtra,Hingoli(15),AASHTIKAR PATIL NAGESH BAPURAO,492535,108602
Maharashtra,Parbhani(17),JADHAV SANJAY ( BANDU ) HARIBHAU,601343,134061
Maharashtra,Nashik(21),RAJABHAU (PARAG) PRAKASH WAJE,616729,162001
Maharashtra,Mumbai North East(28),SANJAY DINA PATIL,450937,29861
Maharashtra,Mumbai South Central(30),ANIL YESHWANT DESAI,395138,53384
Maharashtra,Mumbai South(31),ARVIND GANPAT SAWANT,395655,52673
Maharashtra,Shirdi (38),BHAUSAHEB RAJARAM WAKCHAURE,476900,50529
Maharashtra,Osmanabad(40),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,748752,329846
Maharashtra,Wardha(8),AMAR SHARADRAO KALE,533106,81648
Maharashtra,Dindori (20),BHASKAR MURLIDHAR BHAGARE,577339,113199
Maharashtra,Bhiwandi(23),BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121
Maharashtra,Baramati(35),SUPRIYA SULE,732312,158333
Maharashtra,Shirur(36),DR. AMOL RAMSING KOLHE,698692,140951
Maharashtra,Ahmednagar(37),NILESH DNYANDEV LANKE,624797,28929
Maharashtra,Beed(39),BAJRANG MANOHAR SONWANE,683950,6553
Maharashtra,Madha(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837
Maharashtra,Buldhana(5),JADHAV PRATAPRAO GANPATRAO,349867,29479
Maharashtra,Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,476130,134650
Maharashtra,Kalyan(24),DR SHRIKANT EKNATH SHINDE,589636,209144
Maharashtra,Thane(25),NARESH GANPAT MHASKE,734231,217011
Maharashtra,Mumbai North West(27),RAVINDRA DATTARAM WAIKAR,452644,48
Maharashtra,Maval(33),SHRIRANG APPA CHANDU BARNE,692832,96615
Maharashtra,Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426
Maharashtra,Raigad(32),TATKARE SUNIL DATTATREY,508352,82784
Maharashtra,Sangli(44),VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053
Manipur,Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801
Manipur,Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418
