Party Name,Parliament Constituency,Winning Candidate,Total Votes,Margin
Bharatiya Janata Party - BJP,BALAGHAT(15),BHARTI PARDHI,712660,174512
Bharatiya Janata Party - BJP,CHHINDWARA(16),BUNTY VIVEK SAHU,644738,113618
Bharatiya Janata Party - BJP,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,812147,431696
Bharatiya Janata Party - BJP,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,1116460,821408
Bharatiya Janata Party - BJP,BHOPAL(19),ALOK SHARMA,981109,501499
Bharatiya Janata Party - BJP,RAJGARH(20),RODMAL NAGAR,758743,146089
Bharatiya Janata Party - BJP,DEWAS(21),MAHENDRA SINGH SOLANKY,928941,425225
Bharatiya Janata Party - BJP,UJJAIN(22),ANIL FIROJIYA,836104,375860
Bharatiya Janata Party - BJP,MANDSOUR(23),SUDHEER GUPTA,945761,500655
Bharatiya Janata Party - BJP,RATLAM(24),ANITA NAGARSINGH CHOUHAN,795863,207232
Bharatiya Janata Party - BJP,DHAR(25),SAVITRI THAKUR,794449,218665
Bharatiya Janata Party - BJP,INDORE(26),SHANKAR LALWANI,1226751,1175092
Bharatiya Janata Party - BJP,KHARGONE(27),GAJENDRA SINGH PATEL,819863,135018
Bharatiya Janata Party - BJP,KHANDWA(28),GYANESHWAR PATIL,862679,269971
Bharatiya Janata Party - BJP,BETUL(29),DURGADAS (D. D.) UIKEY,848236,379761
Bharatiya Janata Party - BJP,Jalgaon(3),SMITA UDAY WAGH,674428,251594
Bharatiya Janata Party - BJP,Raver(4),KHADSE RAKSHA NIKHIL,630879,272183
Bharatiya Janata Party - BJP,Akola(6),ANUP SANJAY DHOTRE,457030,40626
Bharatiya Janata Party - BJP,Nagpur(10),NITIN JAIRAM GADKARI,655027,137603
Bharatiya Janata Party - BJP,Palghar(22),DR. HEMANT VISHNU SAVARA,601244,183306
Bharatiya Janata Party - BJP,Mumbai North(26),PIYUSH GOYAL,680146,357608
Bharatiya Janata Party - BJP,Pune(34),MURLIDHAR MOHOL,584728,123038
Bharatiya Janata Party - BJP,Satara(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771
Bharatiya Janata Party - BJP,Ratnagiri- Sindhudurg(46),NARAYAN TATU RANE,448514,47858
Bharatiya Janata Party - BJP,Bargarh(1),PRADEEP PUROHIT,716359,251667
Bharatiya Janata Party - BJP,Sundargarh(2),JUAL ORAM,494282,138808
Bharatiya Janata Party - BJP,Sambalpur(3),DHARMENDRA PRADHAN,592162,119836
Bharatiya Janata Party - BJP,Keonjhar(4),ANANTA NAYAK,573923,97042
Bharatiya Janata Party - BJP,Mayurbhanj(5),NABA CHARAN MAJHI,585971,219334
Bharatiya Janata Party - BJP,Balasore(6),PRATAP CHANDRA SARANGI,563865,147156
Bharatiya Janata Party - BJP,Bhadrak(7),AVIMANYU SETHI,573319,91544
Bharatiya Janata Party - BJP,Jajpur(8),RABINDRA NARAYAN BEHERA,534239,1587
Bharatiya Janata Party - BJP,Dhenkanal(9),RUDRA NARAYAN PANY,598721,76567
Bharatiya Janata Party - BJP,Bolangir(10),SANGEETA KUMARI SINGH DEO,617744,132664
Bharatiya Janata Party - BJP,Kalahandi(11),MALVIKA DEVI,544303,133813
Bharatiya Janata Party - BJP,Nabarangpur(12),BALABHADRA MAJHI,481396,87536
Bharatiya Janata Party - BJP,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371
Bharatiya Janata Party - BJP,Cuttack(14),BHARTRUHARI MAHTAB,531601,57077
Bharatiya Janata Party - BJP,Kendrapara(15),BAIJAYANT PANDA,615705,66536
Bharatiya Janata Party - BJP,Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696
Bharatiya Janata Party - BJP,Puri(17),SAMBIT PATRA,629330,104709
Bharatiya Janata Party - BJP,Bhubaneswar(18),APARAJITA SARANGI,512519,35152
Bharatiya Janata Party - BJP,Aska(19),ANITA SUBHADARSHINI,494226,99974
Bharatiya Janata Party - BJP,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476
Bharatiya Janata Party - BJP,BIKANER (2),ARJUN RAM MEGHWAL,566737,55711
Bharatiya Janata Party - BJP,JAIPUR RURAL(6),RAO RAJENDRA SINGH,617877,1615
Bharatiya Janata Party - BJP,JAIPUR(7),MANJU SHARMA,886850,331767
Bharatiya Janata Party - BJP,ALWAR(8),BHUPENDER YADAV,631992,48282
Bharatiya Janata Party - BJP,AJMER (13),BHAGIRATH CHOUDHARY,747462,329991
Bharatiya Janata Party - BJP,PALI(15),P. P. CHAUDHARY,757389,245351
Bharatiya Janata Party - BJP,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,730056,115677
Bharatiya Janata Party - BJP,JALORE (18),LUMBARAM,796783,201543
Bharatiya Janata Party - BJP,UDAIPUR (19),MANNA LAL RAWAT,738286,261608
Bharatiya Janata Party - BJP,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877
Bharatiya Janata Party - BJP,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223
Bharatiya Janata Party - BJP,BHILWARA(23),DAMODAR AGARWAL,807640,354606
Bharatiya Janata Party - BJP,KOTA(24),OM BIRLA,750496,41974
Bharatiya Janata Party - BJP,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989
Bharatiya Janata Party - BJP,Tripura West(1),BIPLAB KUMAR DEB,881341,611578
Bharatiya Janata Party - BJP,Tripura East(2),KRITI DEVI DEBBARMAN,777447,486819
Bharatiya Janata Party - BJP,Amroha(9),KANWAR SINGH TANWAR,476506,28670
Bharatiya Janata Party - BJP,Meerut(10),ARUN GOVIL,546469,10585
Bharatiya Janata Party - BJP,Ghaziabad(12),ATUL GARG,854170,336965
Bharatiya Janata Party - BJP,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829,559472
Bharatiya Janata Party - BJP,Bulandshahr(14),DR BHOLA SINGH,597310,275134
Bharatiya Janata Party - BJP,Aligarh(15),SATISH KUMAR GAUTAM,501834,15647
Bharatiya Janata Party - BJP,Hathras(16),ANOOP PRADHAN BALMIKI,554746,247318
Bharatiya Janata Party - BJP,Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064,293407
Bharatiya Janata Party - BJP,Agra(18),PROF S P SINGH BAGHEL,599397,271294
Bharatiya Janata Party - BJP,Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657,43405
